"id";"ticket_id";"sender_id";"sender_type";"message";"created_at"
1;1;20;"";"help";"2025-09-22 15:52:38"
2;1;2;"";"yes";"2025-09-22 16:19:20"
3;1;20;"";"can you";"2025-09-22 16:21:14"
4;1;2;"";"no";"2025-09-22 16:25:16"
5;1;20;"";"hgj";"2025-09-22 16:25:40"
6;3;20;"";"gdsfs";"2025-09-22 16:49:55"
7;2;20;"";"dsfdsf";"2025-09-22 16:50:00"
8;2;2;"";"gggd";"2025-09-22 16:56:16"
9;3;2;"";"sdda";"2025-09-22 17:00:19"
10;1;2;"";"uugig";"2025-09-22 17:06:54"
11;1;20;"";"fgdfg";"2025-09-22 17:14:34"
12;3;20;"";"hhk";"2025-09-22 17:14:39"
13;4;2;"";"bcv";"2025-09-24 12:37:15"
